Designator,Mid X,Mid Y,Rotation,Layer
D238,84.0,-68.0,0.0,top
D239,88.0,-68.0,0.0,top
D24,124.0,-40.0,0.0,top
D240,92.0,-68.0,0.0,top
D241,96.0,-68.0,0.0,top
D242,100.0,-68.0,0.0,top
D243,104.0,-68.0,0.0,top
D244,108.0,-68.0,0.0,top
D245,112.0,-68.0,0.0,top
D246,116.0,-68.0,0.0,top
D247,120.0,-68.0,0.0,top
D248,124.0,-68.0,0.0,top
D249,128.0,-68.0,0.0,top
D25,128.0,-40.0,0.0,top
D250,132.0,-68.0,0.0,top
D251,136.0,-68.0,0.0,top
D252,140.0,-68.0,0.0,top
D253,144.0,-68.0,0.0,top
D254,148.0,-68.0,0.0,top
D255,152.0,-68.0,0.0,top
D256,156.0,-68.0,0.0,top
D257,160.0,-68.0,0.0,top
D258,164.0,-68.0,0.0,top
D259,40.0,-72.0,0.0,top
D26,132.0,-40.0,0.0,top
D260,44.0,-72.0,0.0,top
D261,48.0,-72.0,0.0,top
D262,52.0,-72.0,0.0,top
D263,56.0,-72.0,0.0,top
D264,60.0,-72.0,0.0,top
D265,64.0,-72.0,0.0,top
D266,68.0,-72.0,0.0,top
D267,72.0,-72.0,0.0,top
D268,76.0,-72.0,0.0,top
D269,80.0,-72.0,0.0,top
D27,136.0,-40.0,0.0,top
D270,84.0,-72.0,0.0,top
D271,88.0,-72.0,0.0,top
D272,92.0,-72.0,0.0,top
D273,96.0,-72.0,0.0,top
D274,100.0,-72.0,0.0,top
D275,104.0,-72.0,0.0,top
D276,108.0,-72.0,0.0,top
D277,112.0,-72.0,0.0,top
D278,116.0,-72.0,0.0,top
D279,120.0,-72.0,0.0,top
D28,140.0,-40.0,0.0,top
D280,124.0,-72.0,0.0,top
D281,128.0,-72.0,0.0,top
D282,132.0,-72.0,0.0,top
D283,136.0,-72.0,0.0,top
D284,140.0,-72.0,0.0,top
D285,144.0,-72.0,0.0,top
D286,148.0,-72.0,0.0,top
D287,152.0,-72.0,0.0,top
D288,156.0,-72.0,0.0,top
D289,160.0,-72.0,0.0,top
D29,144.0,-40.0,0.0,top
D290,164.0,-72.0,0.0,top
D291,40.0,-76.0,0.0,top
D292,44.0,-76.0,0.0,top
D293,48.0,-76.0,0.0,top
D294,52.0,-76.0,0.0,top
D295,56.0,-76.0,0.0,top
D296,60.0,-76.0,0.0,top
D297,64.0,-76.0,0.0,top
D298,68.0,-76.0,0.0,top
D299,72.0,-76.0,0.0,top
D3,40.0,-40.0,0.0,top
D30,148.0,-40.0,0.0,top
D300,76.0,-76.0,0.0,top
D301,80.0,-76.0,0.0,top
D302,84.0,-76.0,0.0,top
D303,88.0,-76.0,0.0,top
D304,92.0,-76.0,0.0,top
D305,96.0,-76.0,0.0,top
D306,100.0,-76.0,0.0,top
D307,104.0,-76.0,0.0,top
D308,108.0,-76.0,0.0,top
D309,112.0,-76.0,0.0,top
D31,152.0,-40.0,0.0,top
D310,116.0,-76.0,0.0,top
D311,120.0,-76.0,0.0,top
D312,124.0,-76.0,0.0,top
D313,128.0,-76.0,0.0,top
D314,132.0,-76.0,0.0,top
D315,136.0,-76.0,0.0,top
D316,140.0,-76.0,0.0,top
D317,144.0,-76.0,0.0,top
D318,148.0,-76.0,0.0,top
D319,152.0,-76.0,0.0,top
D32,156.0,-40.0,0.0,top
D320,156.0,-76.0,0.0,top
D321,160.0,-76.0,0.0,top
D322,164.0,-76.0,0.0,top
D323,40.0,-80.0,0.0,top
D324,44.0,-80.0,0.0,top
D325,48.0,-80.0,0.0,top
D326,52.0,-80.0,0.0,top
D327,56.0,-80.0,0.0,top
D328,60.0,-80.0,0.0,top
D329,64.0,-80.0,0.0,top
D33,160.0,-40.0,0.0,top
D330,68.0,-80.0,0.0,top
D331,72.0,-80.0,0.0,top
D332,76.0,-80.0,0.0,top
D333,80.0,-80.0,0.0,top
D334,84.0,-80.0,0.0,top
D335,88.0,-80.0,0.0,top
D336,92.0,-80.0,0.0,top
D337,96.0,-80.0,0.0,top
D338,100.0,-80.0,0.0,top
D339,104.0,-80.0,0.0,top
D34,164.0,-40.0,0.0,top
D340,108.0,-80.0,0.0,top
D341,112.0,-80.0,0.0,top
D342,116.0,-80.0,0.0,top
D343,120.0,-80.0,0.0,top
D344,124.0,-80.0,0.0,top
D345,128.0,-80.0,0.0,top
D346,132.0,-80.0,0.0,top
D347,136.0,-80.0,0.0,top
D348,140.0,-80.0,0.0,top
D349,144.0,-80.0,0.0,top
D35,40.0,-44.0,0.0,top
D350,148.0,-80.0,0.0,top
D351,152.0,-80.0,0.0,top
D352,156.0,-80.0,0.0,top
D353,160.0,-80.0,0.0,top
D354,164.0,-80.0,0.0,top
D355,40.0,-84.0,0.0,top
D356,44.0,-84.0,0.0,top
D357,48.0,-84.0,0.0,top
D358,52.0,-84.0,0.0,top
D359,56.0,-84.0,0.0,top
D36,44.0,-44.0,0.0,top
D360,60.0,-84.0,0.0,top
D361,64.0,-84.0,0.0,top
D362,68.0,-84.0,0.0,top
D363,72.0,-84.0,0.0,top
D364,76.0,-84.0,0.0,top
D365,80.0,-84.0,0.0,top
D366,84.0,-84.0,0.0,top
D367,88.0,-84.0,0.0,top
D368,92.0,-84.0,0.0,top
D369,96.0,-84.0,0.0,top
D37,48.0,-44.0,0.0,top
D370,100.0,-84.0,0.0,top
D371,104.0,-84.0,0.0,top
D372,108.0,-84.0,0.0,top
D373,112.0,-84.0,0.0,top
D374,116.0,-84.0,0.0,top
D375,120.0,-84.0,0.0,top
D376,124.0,-84.0,0.0,top
D377,128.0,-84.0,0.0,top
D378,132.0,-84.0,0.0,top
D379,136.0,-84.0,0.0,top
D38,52.0,-44.0,0.0,top
D380,140.0,-84.0,0.0,top
D381,144.0,-84.0,0.0,top
D382,148.0,-84.0,0.0,top
D383,152.0,-84.0,0.0,top
D384,156.0,-84.0,0.0,top
D385,160.0,-84.0,0.0,top
D386,164.0,-84.0,0.0,top
